RID,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16c01,Q16c02,Q16c03,Q16c04,Q16c05,Q16c06,Q16c07,Q16c08,Q16c09,Q16c10,Q16c11,Q16c12,Q16c13,Q17c01,Q17c02,Q17c03,Q17c04,Q17c05,Q17c06,Q17c07,Q17c08,Q17c09,Q17c10,Q17c11,Q17c12,Q17c13,Q18,Q19
63,1,59,8,1,5,8,4,1,1,2,1,1,1,1,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
64,1,0,7,1,4,0,4,1,1,1,1,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
65,1,73,4,6,0,3,4,3,2,1,1,3,1,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
66,2,78,3,6,0,3,5,3,2,1,1,1,1,3,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
67,1,74,9,6,0,3,3,1,2,1,1,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,3
68,2,68,1,6,0,3,3,1,2,1,1,3,1,3,2,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
69,2,78,10,6,0,5,5,3,1,1,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,2,44,1,4,0,3,3,1,1,2,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
71,1,68,7,6,0,3,3,1,2,2,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,1,33,9,1,6,3,3,2,2,2,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,4
